RAJ2000,DEJ2000,SrcIDgaia,RAgaia,e_RAgaia,DEgaia,e_DEgaia,EPucac,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error
5.3294997,39.7165686,380095156768439680,5.3295314,0.1,39.716535,0.1,2002.642,7.1,1.9,-9.8,2.0,14.317,14.316813745706334,30421.63331227606,11.567462444764281
5.5090594,39.6607389,380102509752454144,5.5090447,0.3,39.6606872,0.1,2002.641,-3.3,2.0,-15.0,2.0,14.373,14.372888753224027,28890.331439696412,16.99852999759881
5.4307094,39.7319511,380115600812767488,5.4307106,0.2,39.7319492,0.1,2002.641,0.2,2.5,-0.5,2.3,14.426,14.426003337968535,27511.019856580227,13.527063040915257
5.5339636,39.6410806,380102441032979328,5.5340667,0.3,39.6410025,0.1,2002.647,23.1,2.3,-22.8,2.3,14.566,14.565760126402791,24188.223618464854,11.871001022667079
5.5210706,39.6590886,380102509752454400,5.5210247,0.3,39.6591058,0.1,2002.643,-10.3,2.6,5.0,2.4,14.701,14.701089088373365,21353.66328072501,14.941247147039405
5.6171483,39.6857322,380103677983557120,5.6171092,0.3,39.6856767,0.1,2002.642,-8.8,2.4,-16.2,2.4,14.739,14.739358825123892,20614.10555291775,12.977714500416656
5.4394161,39.7212056,380114844898524160,5.439485,0.3,39.72118,0.1,2002.644,15.4,2.8,-7.4,2.9,14.817,14.816603222831862,19198.475168598055,10.233249780421433
5.6039983,39.6723056,380103643623819136,5.6040267,9.5,39.6722808,1.2,2002.64,6.4,3.5,-7.2,3.3,14.945,14.945386341943003,17051.142690592966,8.995983385399684
5.4728082,39.0727181,380012487237906304,5.4728172,2.5,39.0727228,1.9,2002.616,2.0,1.2,1.4,1.2,11.08,11.079754050764404,599799.9223923088,783.3668997351949
5.4775075,39.1562064,380016266809122816,5.4775069,0.3,39.1561739,0.2,2002.612,-0.1,1.1,-9.5,1.1,11.688,11.68805045128562,342521.5061263618,124.91456104526442
5.4374294,39.09793,380015476535143296,5.4374569,0.2,39.0979222,0.1,2002.612,6.2,1.2,-2.3,1.1,12.144,12.144114573843437,225041.28343800793,69.3454057074902
5.4181861,39.1626164,380016713485721216,5.4182967,1.2,39.1625817,0.9,2002.612,24.9,1.1,-10.1,1.1,12.219,12.21920239652679,210003.75822144805,176.54628913411696
5.3709881,39.1203506,380015064218281216,5.3709644,0.4,39.1202944,0.2,2002.612,-5.3,1.1,-16.3,1.0,12.643,12.642968237490116,142141.4464413828,55.33640590850525
5.5575672,39.053815,380011834402878336,5.5576103,0.3,39.0537564,0.1,2002.612,9.7,1.2,-17.0,1.2,12.833,12.832542983761208,119368.80111406052,145.55798587093176
5.5814275,39.0805778,380011971841830144,5.5814108,0.6,39.0805617,0.3,2002.611,-3.8,1.2,-4.7,1.2,12.85,12.849944924390545,117470.8349965917,94.12360535995184
5.5525086,39.0310228,380011250287327104,5.5525725,0.3,39.0309467,0.2,2002.611,14.4,1.2,-22.1,1.2,12.869,12.86866701542525,115462.56985138719,57.73490938415851
5.5466169,39.0642522,380011903122354432,5.5466092,0.3,39.0642142,0.1,2002.612,-1.7,1.2,-11.1,1.2,13.014,13.014187906947274,100979.41787651443,33.381467738149766
5.4706562,39.0010194,380010597453048832,5.4707278,17.3,39.0010244,6.9,2002.609,16.2,1.8,1.5,1.3,13.182,13.182069168704206,86512.79796859181,48.64855067444434
