ID,LON,LAT,RA,DEC
399259,29.0696,28.3465,14.815447775911842,37.28046484484294
417669,27.9087,31.0039,12.15868791048612,39.2109230308539
427153,28.1147,32.4213,11.516325343825612,40.551362016299606
430642,27.6074,32.9528,10.692393798249388,40.82423426724344
431776,22.8044,33.1299,5.945354826018505,39.09067015320578
435252,30.297,33.6614,12.912986726806045,42.49842706485758
445329,27.4653,35.2559,9.090524923465503,42.79733000983221
451834,23.4633,36.3189,4.54426998712463,42.14560514995963
406703,25.3341,29.4094,10.552090121639049,36.78397835450844
437497,23.9255,34.0157,6.467512800498234,40.31367125073017
