guide_ra,guide_dec,phot_g_mean_mag,cmos_id
9.8277942,36.3934892,14.852,2
9.8657278,36.5213969,14.976,2
9.7143303,36.4533464,12.782,2
9.7287042,36.4847108,14.682,2
9.9406267,36.2927575,12.56,3
9.8637947,36.2533525,12.668,3
9.8967233,36.2652186,12.973,3
9.9114575,36.3801847,13.336,3
9.966626,36.3201336,13.381,3
9.8862817,36.3740833,13.422,3
9.8310986,36.3572692,13.816,3
9.8576407,36.2775903,13.926,3
9.8424169,36.283515,14.084,3
9.9351983,36.3157192,14.297,3
9.8442667,36.2956944,14.309,3
9.8022389,36.3523036,14.373,3
9.9844944,36.3699464,14.497,3
9.9948781,36.4393464,14.742,3
9.9496956,36.2866331,14.852,3
9.8673218,36.3484222,14.915,3
10.0072261,36.2952394,10.044,3
10.0026644,36.3652653,14.046,3
10.0426675,36.3689858,14.633,3
10.0174702,36.3975008,14.773,3
9.8881147,36.2188208,12.251,4
9.9040694,36.1809633,12.0,4
10.0037733,36.14324,12.929,4
10.0510819,36.2162744,13.075,4
9.9962682,36.1767667,13.657,4
9.9778094,36.1105989,13.665,4
10.0866311,36.2522267,13.67,4
9.9768406,36.1889347,13.983,4
10.0647869,36.1704389,14.028,4
9.9515738,36.2591119,14.289,4
10.0100503,36.1778594,14.64,4
9.9278908,36.2344383,14.642,4
10.0709817,36.2240381,14.715,4
11.1944638,37.3335492,14.07,5
11.2274928,37.3722008,12.056,5
11.1901118,37.4234725,14.269,5
11.1512053,37.3450317,12.737,5
11.068682,37.3105358,13.545,5
11.1688,37.3670475,14.023,5
11.1979467,37.35323,14.922,5
11.2369947,37.2878875,10.377,6
11.275475,37.2377536,11.445,6
11.2197639,37.3189161,12.551,6
11.2537789,37.2165936,12.721,6
11.2525706,37.2835025,13.331,6
11.2192543,37.2733783,13.709,6
11.2888056,37.2481283,14.167,6
11.2189064,37.2945772,14.189,6
11.1931094,37.3024614,14.774,6
11.2858514,37.2539008,14.968,6
11.2013226,37.2727886,10.972,6
11.1928908,37.2486222,12.318,6
11.1913497,37.1516367,13.42,6
11.2249178,37.1869619,13.656,6
11.1640983,37.2614533,13.695,6
11.0853117,37.1675242,14.036,6
11.0479139,37.2575753,14.527,6
11.0581883,37.2176383,14.554,6
11.2354275,37.2125733,14.989,6
11.2806481,37.1468767,11.968,7
11.3172477,37.1671083,12.881,7
11.2590567,37.1673475,12.969,7
11.3721046,37.0934942,14.294,7
11.3161106,37.1424575,14.485,7
11.2801336,37.1104331,14.522,7
11.3742008,37.0906375,14.524,7
11.3803951,37.0890225,14.946,7
11.1900158,37.1396769,14.684,7
11.2479033,37.0564544,11.949,7
11.1807483,37.0869833,12.771,7
11.2879047,37.0539967,13.815,7
11.1696644,37.1063725,14.184,7
11.2131922,37.0716661,14.81,7
11.3740427,37.0392219,10.54,8
11.2754761,36.8571836,14.039,8
11.2657,36.9549889,14.166,8
11.2829278,36.9220661,14.296,8
11.3480792,36.909035,11.757,8
11.3964189,36.9327219,12.921,8
11.3714288,36.9022203,12.937,8
11.3878764,37.0196953,13.336,8
11.4410408,36.9978219,13.406,8
11.3820767,36.9332228,13.752,8
11.4035242,36.9790642,13.829,8
11.4297142,36.9687175,13.954,8
11.3434207,36.9684472,14.317,8
11.3455417,36.9006719,14.342,8
11.4045222,36.9253278,14.503,8
11.3697839,36.9676939,14.538,8
11.3819931,36.90085,14.635,8
11.3422358,36.9412078,14.69,8
11.4442475,37.0014086,14.919,8
11.3512564,36.9983211,14.969,8
11.4324532,36.9684456,14.973,8
11.2586033,37.0022058,11.834,8
11.2975647,37.0060253,13.029,8
11.2313175,36.9620508,13.672,8
11.2772597,37.0057567,13.673,8
11.2580343,36.9680167,14.431,8
11.2881786,36.9651228,14.592,8
11.4795772,38.9982989,12.696,1
11.4298425,38.9964819,13.575,1
11.4537733,39.0290547,14.0,1
