guide_ra,guide_dec,phot_g_mean_mag,cmos_id
10.7338187,40.7579703,14.585,2
10.7299036,40.6889789,10.546,2
10.7235044,40.7122167,13.763,2
10.7469578,40.7017458,13.969,2
10.7106222,40.7180869,14.037,2
10.8223289,40.7366875,14.652,2
10.7847097,40.6872208,14.912,2
12.02501,40.2686261,10.332,3
11.9801742,40.2626239,14.898,3
11.9818767,40.1216647,13.727,3
11.9680901,40.1186897,14.115,3
11.9603264,40.1361483,14.252,3
11.9583417,40.2222181,10.715,3
11.9625483,40.2431781,13.076,3
11.9322592,40.2511428,13.215,3
11.9525622,40.2381456,13.568,3
11.9512351,40.2330986,14.95,3
11.9799972,40.1711772,13.095,3
11.9848787,40.2411331,14.16,3
11.985236,40.1953631,14.557,3
11.9891231,40.2268989,14.858,3
12.0644978,40.2971303,12.117,4
12.1056194,40.2892944,13.556,4
12.116045,40.3008364,13.89,4
12.0602714,40.3115672,14.105,4
12.127389,40.3320683,14.115,4
12.2603422,40.2228111,12.305,4
12.2442822,40.236085,12.957,4
12.239078,40.2406139,13.557,4
12.2289072,40.267135,14.139,4
12.2584459,40.2423453,14.605,4
12.2284336,40.1984239,14.869,4
12.1080711,40.2349397,9.574,4
12.0923592,40.2746753,11.646,4
12.1387311,40.2478503,12.341,4
12.1755408,40.177015,14.609,4
3.6024874,42.1871844,10.901,1
3.576485,42.2734397,11.444,1
3.6340283,42.3043147,12.32,1
3.6608428,42.2009042,12.49,1
3.5514425,42.3111472,12.739,1
3.5556403,42.3126531,12.79,1
3.6079792,42.1936508,13.147,1
3.6068749,42.2266039,13.197,1
3.5554022,42.3017531,13.638,1
3.5999861,42.2193667,13.75,1
3.5965769,42.1531017,14.092,1
3.54834,42.2891933,14.21,1
3.5276006,42.2421142,14.304,1
3.5447792,42.2962561,14.398,1
3.6234725,42.2429067,14.421,1
3.5586264,42.2813397,14.479,1
3.6684642,42.2330328,14.568,1
3.627068,42.2252061,14.702,1
3.5294794,42.2395781,14.768,1
3.5971539,42.2395681,14.786,1
3.6410153,42.204435,14.929,1
3.5680922,42.1759178,14.932,1
3.7904947,42.3978778,12.384,2
3.7412931,42.3620194,13.098,2
3.7384981,42.3402597,13.938,2
3.7474951,42.3797606,14.085,2
3.7480911,42.3377886,14.798,2
3.6506906,42.3642111,14.805,2
3.8444051,42.2973742,10.838,2
3.7673846,42.2241983,11.154,2
3.7618067,42.2212194,12.205,2
3.7878783,42.2245292,12.543,2
3.8616564,42.2685392,12.593,2
